Time;GDP_2011;Ex_2011;Im_2011;Inv_current;Inv_index;Budget_in;Tax_pi;Tax_ndfl;Tax_nds;Tax_ndpi;Insurance;Budget_out;Out_general;Out_defense;Out_economy;Out_educ;Out_soc;Brent;IPC;Budget_in_r;Tax_pi_r;Tax_ndfl_r;Tax_nds_r;Tax_ndpi_r;Insurance_r;Budget_out_r;Out_general_r;Out_defense_r;Out_economy_r;Out_educ_r;Out_soc_r;INDEXDefl
2006q02;12828.76407;4198.793448;2231.061305;1017.6;;3.39499E+12;4.256E+11;2.23954E+11;1.98168E+11;3.00856E+11;6.06819E+11;2.70762E+12;1.82276E+11;1.72852E+11;2.10314E+11;2.86891E+11;9.0878E+11;71.42666667;1.01204706;5.44381E+12;6.82443E+11;3.59107E+11;3.17759E+11;4.82419E+11;9.73026E+11;4.34163E+12;2.92277E+11;2.77166E+11;3.37235E+11;4.60026E+11;1.45722E+12;62.36413021
2006q03;13740.08159;3928.973999;2000.115052;1287.3;;2.22766E+12;4.04964E+11;2.40065E+11;2.34961E+11;3.20921E+11;3.59957E+11;1.49931E+12;2.19824E+11;1.34884E+11;2.3218E+11;2.1062E+11;5.53758E+11;68.72333333;1.010023014;3.53657E+12;6.4291E+11;3.81121E+11;3.73018E+11;5.09486E+11;5.71459E+11;2.38027E+12;3.48987E+11;2.14138E+11;3.68603E+11;3.34374E+11;8.79131E+11;62.98920677
2006q04;14352.08792;3921.118792;2003.925194;1766.7;;3.03066E+12;5.08091E+11;2.89641E+11;2.21904E+11;2.70458E+11;4.30585E+11;2.90286E+12;2.6264E+11;2.36108E+11;3.95839E+11;3.68737E+11;6.7846E+11;60.50666667;1.017090144;4.73055E+12;7.93078E+11;4.52101E+11;3.46369E+11;4.22157E+11;6.721E+11;4.53106E+12;4.09955E+11;3.6854E+11;6.17865E+11;5.7556E+11;1.05901E+12;64.06570138
2007q01;12565.23838;3580.459334;2206.007239;897.6;87.1;2.53025E+12;4.18107E+11;2.38851E+11;2.0934E+11;2.36416E+11;3.85848E+11;1.75467E+12;1.71695E+11;1.48319E+11;1.67162E+11;2.06573E+11;5.42028E+11;62.09666667;1.034356122;3.81827E+12;6.30946E+11;3.60439E+11;3.15905E+11;3.56765E+11;5.82265E+11;2.64789E+12;2.59097E+11;2.23821E+11;2.52256E+11;3.1173E+11;8.17949E+11;66.26675043
2007q02;13934.90208;4397.817195;2836.831595;1414.4;132.9;3.16396E+12;4.91145E+11;2.99548E+11;3.89454E+11;2.83826E+11;4.71312E+11;2.47509E+12;2.30148E+11;2.0753E+11;2.63279E+11;3.64135E+11;6.5802E+11;69.78666667;1.02215636;4.67109E+12;7.25098E+11;4.42236E+11;5.74968E+11;4.19024E+11;6.95817E+11;3.65407E+12;3.39777E+11;3.06385E+11;3.8869E+11;5.37588E+11;9.71462E+11;67.73498041
2007q03;14863.21394;4068.183262;2527.060955;1744.1;156.5;3.20917E+12;4.59382E+11;3.26316E+11;3.21251E+11;3.1834E+11;4.56505E+11;2.49106E+12;2.60095E+11;1.70923E+11;3.30702E+11;2.67162E+11;6.64147E+11;77.77666667;1.018089072;4.65365E+12;6.66155E+11;4.73194E+11;4.6585E+11;4.61628E+11;6.61983E+11;3.61232E+12;3.77166E+11;2.47858E+11;4.79555E+11;3.87414E+11;9.63087E+11;68.96024335
2007q04;15670.62913;4346.492039;2469.745093;2660.1;226.7;4.3473E+12;8.03353E+11;4.01842E+11;4.70573E+11;3.58814E+11;5.34736E+11;4.52495E+12;5.04774E+11;3.07216E+11;7.99255E+11;5.04395E+11;8.5302E+11;90.99666667;1.039502112;6.06451E+12;1.12068E+12;5.60571E+11;6.56452E+11;5.00547E+11;7.45959E+11;6.31233E+12;7.04162E+11;4.28568E+11;1.11497E+12;7.03634E+11;1.18997E+12;71.6843186
2008q01;13717.03297;3950.423331;2664.189482;1314.6;107.5;3.33424E+12;5.69449E+11;3.22649E+11;93658622527;3.91815E+11;4.50664E+11;2.33586E+12;2.75656E+11;1.76372E+11;2.72676E+11;2.62194E+11;7.33188E+11;97.51;1.047699312;4.43952E+12;7.58218E+11;4.29606E+11;1.24706E+11;5.217E+11;6.00057E+11;3.11018E+12;3.67035E+11;2.34838E+11;3.63067E+11;3.4911E+11;9.76235E+11;75.10361128
2008q02;15034.45398;4430.23053;3377.744666;1991.5;156.2;4.20943E+12;6.6262E+11;4.11524E+11;3.41577E+11;4.62002E+11;5.65473E+11;3.17967E+12;2.74667E+11;2.41598E+11;4.21348E+11;4.61531E+11;8.57502E+11;127.0933333;1.03847796;5.39716E+12;8.49585E+11;5.27639E+11;4.37956E+11;5.9236E+11;7.25027E+11;4.07684E+12;3.52167E+11;3.09767E+11;5.40235E+11;5.91756E+11;1.09945E+12;77.99344503
2008q03;15815.22325;4194.6436;3062.180302;2369;175.6;4.63522E+12;7.83258E+11;4.53791E+11;3.65303E+11;5.2592E+11;5.37029E+11;3.22596E+12;3.02019E+11;2.02504E+11;4.69776E+11;3.40764E+11;9.06646E+11;112.6966667;1.01709216;5.84322E+12;9.87384E+11;5.72054E+11;4.60505E+11;6.62982E+11;6.76985E+11;4.06668E+12;3.80729E+11;2.55279E+11;5.92206E+11;4.29571E+11;1.14293E+12;79.32652148
